Timestamp,CPU%,MemUsage,NetIO,BlockIO,PIDs,VirtuaUsers
5,21.94,258.05,11.8GB / 65.1MB,0.00,16,8
5,17.03,259.07,11.8GB / 65.1MB,0.00,16,8
5,21.66,260.09,11.8GB / 65.2MB,0.00,16,8
5,1.41,261.12,11.8GB / 65.2MB,51.20,16,8
5,1.14,261.12,11.8GB / 65.2MB,0.00,16,8
5,13.61,261.12,11.8GB / 65.2MB,0.00,16,8
5,16.90,262.14,11.8GB / 65.3MB,0.00,16,8
5,14.44,263.17,11.8GB / 65.3MB,51.20,16,8
5,22.40,264.19,11.8GB / 65.3MB,0.00,16,8
5,20.68,264.19,11.8GB / 65.4MB,0.00,16,8
5,16.90,265.21,11.8GB / 65.4MB,0.00,16,8
5,21.75,266.24,11.8GB / 65.5MB,0.00,16,8
5,11.88,267.26,11.8GB / 65.5MB,51.20,16,8
5,1.03,266.24,11.8GB / 65.5MB,0.00,16,8
5,1.32,266.24,11.8GB / 65.5MB,0.00,16,8
5,1.38,266.24,11.8GB / 65.5MB,0.00,16,8
5,5.61,268.29,11.8GB / 65.5MB,51.20,17,8
5,25.48,267.26,11.8GB / 65.5MB,0.00,16,8
5,17.40,268.29,11.8GB / 65.6MB,0.00,16,8
5,21.36,269.31,11.8GB / 65.6MB,0.00,16,8
5,24.30,270.33,11.8GB / 65.7MB,0.00,16,8
5,17.66,270.33,11.8GB / 65.7MB,51.20,16,8
5,21.28,271.36,11.8GB / 65.8MB,0.00,16,8
5,17.61,272.38,11.8GB / 65.8MB,0.00,16,8
6,16.05,273.41,11.8GB / 65.8MB,0.00,16,8
6,1.47,273.41,11.8GB / 65.8MB,51.20,16,8
6,2.47,273.41,11.8GB / 65.8MB,0.00,16,8
6,14.12,274.43,11.8GB / 65.9MB,0.00,16,8
6,24.78,274.43,11.8GB / 65.9MB,0.00,16,8
6,23.48,275.45,11.8GB / 66MB,0.00,16,8
6,22.38,276.48,11.8GB / 66MB,51.20,16,8
6,24.08,277.50,11.8GB / 66.1MB,0.00,16,8
6,14.40,277.50,11.8GB / 66.1MB,0.00,16,8
6,17.50,278.53,11.8GB / 66.2MB,0.00,16,8
6,21.02,279.55,11.8GB / 66.2MB,51.20,16,8
6,1.13,279.55,11.8GB / 66.2MB,0.00,16,8
6,10.87,279.55,11.8GB / 66.2MB,0.00,16,8
6,22.59,280.57,11.8GB / 66.3MB,0.00,16,8
6,23.78,281.60,11.8GB / 66.3MB,51.20,16,8
6,25.28,281.60,11.8GB / 66.4MB,0.00,16,8
6,20.64,282.62,11.8GB / 66.4MB,0.00,16,8
6,3.65,281.60,11.8GB / 66.4MB,0.00,16,8
6,29.34,283.65,11.8GB / 66.5MB,51.20,16,8
6,22.93,284.67,11.8GB / 66.5MB,0.00,16,8
6,11.63,284.67,11.8GB / 66.5MB,0.00,16,8
6,14.67,285.69,11.8GB / 66.6MB,0.00,16,8
6,2.51,286.72,11.8GB / 66.6MB,51.20,17,8
6,26.50,286.72,11.8GB / 66.6MB,0.00,16,8
6,22.36,286.72,11.8GB / 66.7MB,0.00,16,8
6,17.74,287.74,11.8GB / 66.7MB,0.00,16,8
6,22.39,287.74,11.8GB / 66.8MB,51.20,16,8
6,24.81,288.77,11.8GB / 66.8MB,0.00,16,8
6,27.39,289.79,11.8GB / 66.9MB,0.00,16,8
6,15.95,289.79,11.8GB / 66.9MB,0.00,16,8
7,19.14,290.81,11.8GB / 66.9MB,0.00,16,8
7,17.86,290.81,11.8GB / 67MB,0.00,16,8
7,19.79,291.84,11.8GB / 67MB,0.00,16,8
7,0.86,290.81,11.8GB / 67MB,0.00,16,8
7,8.80,291.84,11.8GB / 67MB,51.20,16,8
7,13.91,291.84,11.8GB / 67MB,0.00,16,8
7,20.87,292.86,11.8GB / 67.1MB,0.00,16,8
7,5.53,292.86,11.8GB / 67.1MB,0.00,16,8
7,12.84,292.86,11.8GB / 67.1MB,0.00,16,8
7,7.94,292.86,11.8GB / 67.2MB,0.00,16,8
7,16.11,293.89,11.8GB / 67.2MB,0.00,16,8
7,12.66,293.89,11.8GB / 67.2MB,0.00,16,8
7,20.55,294.91,11.8GB / 67.3MB,0.00,16,8
7,18.96,294.91,11.8GB / 67.3MB,0.00,16,8
7,0.88,295.93,11.8GB / 67.4MB,0.00,16,8
7,12.79,296.96,11.8GB / 67.4MB,0.00,16,8
7,8.45,296.96,11.8GB / 67.4MB,0.00,16,8
7,17.03,296.96,11.8GB / 67.5MB,0.00,16,8
7,6.87,296.96,11.8GB / 67.5MB,0.00,16,8
7,16.35,297.98,11.8GB / 67.5MB,0.00,16,8
7,2.09,297.98,11.8GB / 67.5MB,0.00,16,8
7,8.34,297.98,11.8GB / 67.5MB,0.00,16,8
7,22.10,299.01,11.8GB / 67.6MB,0.00,16,8
7,14.82,299.01,11.8GB / 67.6MB,0.00,16,8
7,14.36,299.01,11.8GB / 67.6MB,0.00,16,8
7,2.23,297.98,11.8GB / 67.6MB,0.00,16,8
7,9.89,299.01,11.8GB / 67.6MB,0.00,16,8
7,17.00,300.03,11.8GB / 67.7MB,0.00,16,8
7,19.50,300.03,11.8GB / 67.7MB,0.00,16,8
8,8.51,300.03,11.8GB / 67.7MB,0.00,16,8
8,0.69,300.03,11.8GB / 67.7MB,0.00,16,8
8,1.98,301.05,11.8GB / 67.8MB,0.00,16,8
8,12.24,301.05,11.8GB / 67.8MB,51.20,16,8
8,9.69,301.05,11.8GB / 67.8MB,0.00,16,8
8,15.14,302.08,11.8GB / 67.8MB,0.00,16,8
8,11.58,301.05,11.8GB / 67.9MB,0.00,16,8
8,14.08,302.08,11.8GB / 67.9MB,0.00,16,8
8,0.01,302.08,11.8GB / 67.9MB,0.00,16,8
8,14.08,302.08,11.8GB / 67.9MB,0.00,16,8
8,10.40,302.08,11.8GB / 68MB,0.00,16,8
