Timestamp,CPU%,MemUsage,NetIO,BlockIO,PIDs
1717890490,13.34%,3.786GiB / 125.8GiB,8.63GB / 29.4MB,377kB / 23.3GB,41
1717890493,14.46%,3.787GiB / 125.8GiB,8.63GB / 29.4MB,377kB / 23.4GB,41
1717890495,6.62%,3.789GiB / 125.8GiB,8.63GB / 29.4MB,377kB / 23.5GB,41
1717890497,3.43%,3.79GiB / 125.8GiB,8.63GB / 29.4MB,377kB / 23.7GB,41
1717890499,92.67%,3.795GiB / 125.8GiB,8.64GB / 29.4MB,377kB / 23.9GB,41
1717890501,29.73%,3.798GiB / 125.8GiB,8.64GB / 29.4MB,377kB / 24GB,41
1717890503,11.62%,3.8GiB / 125.8GiB,8.64GB / 29.4MB,377kB / 24GB,41
1717890505,5.32%,3.803GiB / 125.8GiB,8.65GB / 29.5MB,377kB / 24.1GB,41
1717890507,112.80%,3.805GiB / 125.8GiB,8.65GB / 29.6MB,377kB / 24.2GB,41
1717890509,275.46%,3.809GiB / 125.8GiB,8.67GB / 29.7MB,377kB / 24.3GB,41
1717890511,257.14%,3.835GiB / 125.8GiB,8.68GB / 29.9MB,377kB / 24.3GB,41
1717890513,165.79%,3.933GiB / 125.8GiB,8.69GB / 30MB,377kB / 24.3GB,41
1717890515,207.55%,3.936GiB / 125.8GiB,8.71GB / 30.1MB,377kB / 24.4GB,41
1717890517,212.75%,3.935GiB / 125.8GiB,8.72GB / 30.3MB,377kB / 24.4GB,40
1717890519,203.22%,3.926GiB / 125.8GiB,8.74GB / 30.4MB,377kB / 24.4GB,40
1717890521,379.15%,3.932GiB / 125.8GiB,8.76GB / 30.7MB,377kB / 24.5GB,40
1717890523,265.95%,3.939GiB / 125.8GiB,8.78GB / 30.9MB,377kB / 24.6GB,40
1717890525,225.26%,3.946GiB / 125.8GiB,8.8GB / 31MB,377kB / 24.6GB,40
1717890527,354.75%,3.954GiB / 125.8GiB,8.82GB / 31.3MB,377kB / 24.7GB,40
1717890529,315.89%,3.961GiB / 125.8GiB,8.85GB / 31.5MB,377kB / 24.7GB,40
1717890531,234.76%,3.976GiB / 125.8GiB,8.87GB / 31.7MB,377kB / 24.8GB,41
1717890533,258.29%,4.004GiB / 125.8GiB,8.89GB / 31.9MB,377kB / 24.8GB,41
1717890535,278.88%,4.021GiB / 125.8GiB,8.91GB / 32.1MB,377kB / 24.9GB,41
1717890537,244.71%,4.035GiB / 125.8GiB,8.93GB / 32.3MB,377kB / 24.9GB,41
1717890539,236.05%,4.048GiB / 125.8GiB,8.95GB / 32.5MB,377kB / 25GB,41
1717890541,74.55%,4.049GiB / 125.8GiB,8.96GB / 32.6MB,377kB / 25GB,41
1717890543,97.74%,4.052GiB / 125.8GiB,8.96GB / 32.6MB,377kB / 25GB,41
1717890545,131.86%,4.057GiB / 125.8GiB,8.97GB / 32.7MB,377kB / 25GB,41
1717890547,170.75%,4.06GiB / 125.8GiB,8.98GB / 32.8MB,377kB / 25GB,41
1717890549,178.38%,4.065GiB / 125.8GiB,8.99GB / 32.9MB,377kB / 25.1GB,41
1717890551,200.65%,4.068GiB / 125.8GiB,9GB / 33MB,377kB / 25.1GB,41
